국가서지번호,출처기관제어번호,자료유형,표제와 책임표시사항,제목,부제목,저자,발행처,발행지역,발행지코드,내용유형,크기,가격,본문언어,분야
NBC202229510,KMO202257779,공공간행물,"'19~'21 아프리카돼지열병 발생 상황 분석(방역 백서) / 연구기관: 한국농촌경제연구원 ; 연구책임자: 정민국 ; 연구참여자: 이용건, 최진용, 김충현, 임수현",'19~'21 아프리카돼지열병 발생 상황 분석(방역 백서),No data,정민국(KAC201209965);이용건(KAC201404091);최진용(KAC201720987);김충현(KAC2019G2352);임수현(KAC201310784);한국농촌경제연구원(KAB201300044),농림축산식품부,No data,sjk,text,26 cm,No data,kor,"농업,농학"
NBC202229510,KMO202266256,공공간행물,'21년 국가측량시행계획 추진실적 평가 및 컨설팅 등에 관한 연구 / 국토교통부 국토지리정보원 [편],'21년 국가측량시행계획 추진실적 평가 및 컨설팅 등에 관한 연구,No data,국토지리정보원(KAB201500528),국토교통부 국토지리정보원,수원,ggk,text,30 cm,No data,kor,"공학,공업일반,토목공학,환경공학"
NBC202229510,KMO202260018,공공간행물,'21년 추진실적 및 '22년 시행계획 : 농어업인의 삶의 질 향상 및 농어촌 지역 개발 / 농림축산식품부 [편],'21년 추진실적 및 '22년 시행계획,농어업인의 삶의 질 향상 및 농어촌 지역 개발,농림축산식품부(KAB201400071),농림축산식품부,No data,sjk,text,26 cm,No data,kor,"농업,농학"
NBC202229510,KMO202262275,공공간행물,'돼지' 바이러스성 설사병 대응 연구 : 가축질병대응기술개발사업 2021년도 최종보고서 / 주관연구기관명: 코미팜 ; 협동연구기관명: 전북대학교 산학협력단 ; 주관연구책임자: 김주헌 ; 협동연구책임자: 탁동섭,'돼지' 바이러스성 설사병 대응 연구,가축질병대응기술개발사업 2021년도 최종보고서,김주헌;탁동섭(KAC201846471);코미팜(KAB202200372);전북대학교.산학협력단(KAB201500591),농림축산식품부,No data,sjk,text,30 cm,No data,kor,"농업,농학"
NBC202229510,KMO202242174,공공간행물,'신(新) 영일동맹'의 전망 : 20세기 초 영일동맹과의 역사적 비교 / 김종학,'신(新) 영일동맹'의 전망,20세기 초 영일동맹과의 역사적 비교,김종학,국립외교원 외교안보연구소,서울,ulk,text,24 cm,No data,kor,정치학
NBC202229510,KMO202263564,공공간행물,'코로나19 아카이브' 구축방안 연구 : 정책연구용역 최종보고서 / 연구기관: 중앙대학교 산학협력단 ; 연구책임자: 김학래 ; 연구원: 양지선,'코로나19 아카이브' 구축방안 연구,정책연구용역 최종보고서,중앙대학교 산학협력단;김학래;양지선;중앙대학교.산학협력단(KAB201400272),국립중앙도서관,No data,ulk,text,30 cm,No data,kor,의학
NBC202229511,KMO202242356,공공간행물,'통상과 환경'의 연계 동향과 쟁점 연구 / 이효영 [저],'통상과 환경'의 연계 동향과 쟁점 연구,No data,이효영(KAC201503270),국립외교원 외교안보연구소,서울,ulk,text,24 cm,No data,kor,정치학
NBC202229511,T16281767,공공간행물,('21)産災保險再審査栽決事例集 / 雇傭勞動部 産業災害補償保險再審査委員會 [編],('21)産災保險再審査栽決事例集,No data,고용노동부;산업재해보상보험재심사위원회,雇傭勞動部 産業災害補償保險再審査委員會,서울,ulk,text,23 cm,No data,kor,경제학
NBC202229511,KMO202248418,공공간행물,('22) 생활안전 길라잡이 = Life safety guide : 시민과 함께 다시 뛰는 울산 / 울산광역시 [편],('22) 생활안전 길라잡이,시민과 함께 다시 뛰는 울산,울산광역시(KAB201400178),울산광역시,No data,usk,text,24 cm,No data,kor,행정학
NBC202233991,CNTS-00129554039,공공간행물,(2019·2022 인천광역시) 청소년참여예산제 성과자료집 [전자자료] : 청소년참여로 만드는 행복한 우리 도시  / 인천주민참여예산지원센터,(2019·2022 인천광역시) 청소년참여예산제 성과자료집,청소년참여로 만드는 행복한 우리 도시 ,인천주민참여예산지원센터,인천주민참여예산지원센터,인천,ick,text,No data,No data,kor,정치학
