국가서지번호,출처기관제어번호,자료유형,표제와 책임표시사항,제목,부제목,저자,발행처,발행지역,발행지코드,내용유형,크기,가격,본문언어,분야
NBC202232479,KMU202201618,시청각자료,#4 우리동네 이야기 [녹음자료] / 강신웅,#4 우리동네 이야기,No data,강신웅(KAC202226876);정탁;주용열;문경인;키니;정상희;김은령;오형근;정소영;신나,RIAK [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232480,KMU202200792,시청각자료,"#Topsecret [녹음자료] / 루드블러드, 버무아, 홀던",#Topsecret,No data,루드블러드(KAC202206035);버무아;홀던,뮤즈플랫폼 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232480,KMU202204250,시청각자료,#생각이나 [녹음자료] / 노형돈,#생각이나,No data,노형돈(KAC2018G3565),퍼플파인엔터테인먼트 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232480,T16694972,시청각자료,(007) 노 타임 투 다이 [비디오녹화자료] /  Cary Fukunaga 감독,(007) 노 타임 투 다이,No data,Fukunaga Cary;Craig Daniel;Malek Rami;Lynch Lashana;Seydoux Lea,유니버셜픽쳐스 [제공]해리슨 앤 컴퍼니[제작·판매],서울,ulk,moving image,12 cm,No data,eng,"오락,스포츠"
NBC202232480,KVM202201913,시청각자료,(18th) 서울와우북페스티벌 [화상자료] = Seoul Wow Book Festival : 다정함으로 길을 묻다 / 주최·주관: 와우책문화예술센터,(18th) 서울와우북페스티벌,다정함으로 길을 묻다,와우책문화예술센터,와우책문화예술센터,[서울],ulk,still image,70 x 50 cm,No data,kor,문헌정보학
NBC202232480,KVM202201012,시청각자료,(2012~2021년) 산악기상관측소 운영 현황 [화상자료] / 국립산림과학원 [편],(2012~2021년) 산악기상관측소 운영 현황,No data,국립산림과학원(KAB201500434),국립산림과학원,서울,ulk,still image,"45 x 72 cm, 접으면 23 x 11 cm",No data,kor,지학
NBC202232480,KVM202200666,시청각자료,"(2020 韓国人の栄養素摂取基準) 自転車で見る食品構成 [화상자료] / 보건복지부, 한국영양학회 [편]",(2020 韓国人の栄養素摂取基準) 自転車で見る食品構成,No data,보건복지부(KAB201300005);한국영양학회(KAB201701560),보건복지부,[세종],sjk,still image,42 x 30 cm,No data,jpn,생활과학
NBC202232480,KVM202200667,시청각자료,"(2020 韩国人营养元素的摄入标准) 食品结构自行车 [화상자료] / 보건복지부, 한국영양학회 [편]",(2020 韩国人营养元素的摄入标准) 食品结构自行车,No data,보건복지부(KAB201300005);한국영양학회(KAB201701560),보건복지부,[세종],sjk,still image,42 x 30 cm,No data,chi,생활과학
NBC202232480,KVM202200675,시청각자료,"(2020 한국인 영양소 섭취기준) 식사구성안 활용하기 [화상자료] / 보건복지부, 한국영양학회 [편]",(2020 한국인 영양소 섭취기준) 식사구성안 활용하기,No data,보건복지부(KAB201300005);한국영양학회(KAB201701560),보건복지부,[세종],sjk,still image,"15 x 75 cm, 접으면 15 x 15 cm",No data,kor,생활과학
NBC202232480,KVM202200676,시청각자료,"(2020 한국인 영양소 섭취기준) 식품구성자전거 [화상자료] / 보건복지부, 한국영양학회 [편]",(2020 한국인 영양소 섭취기준) 식품구성자전거,No data,보건복지부(KAB201300005);한국영양학회(KAB201701560),보건복지부,[세종],sjk,still image,"15 x 75 cm, 접으면 15 x 15 cm",No data,kor,생활과학
