출처기관제어번호,자료유형,제목,부제목,저자,발행처,발행지역,발행년,내용유형,크기,본문언어,가격,분야
KSE201500498,연속간행물,(ACTS) 신학저널,No data,아세아연합신학대학교.신학연구소,아세아연합신학대학교 신학연구소,담양,2013-,text,23 cm,kor,12000.0,기독교
KSE201500498,연속간행물,(ACTS) 신학저널,No data,아세아연합신학대학교.신학연구소,아세아연합신학대학교 신학연구소,담양,2013-,text,23 cm,kor,12000.0,기독교
KSE201500498,연속간행물,(ACTS) 신학저널,No data,아세아연합신학대학교.신학연구소,아세아연합신학대학교 신학연구소,담양,2013-,text,23 cm,kor,12000.0,기독교
KSE201500498,연속간행물,(ACTS) 신학저널,No data,아세아연합신학대학교.신학연구소,아세아연합신학대학교 신학연구소,담양,2013-,text,23 cm,kor,12000.0,기독교
KSE201900794,연속간행물,(An) usual,No data,스튜디오봄봄,스튜디오봄봄,서울,2019-,text,24 cm,kor,13500.0,한국문학
KSE201900794,연속간행물,(An) usual,No data,스튜디오봄봄,스튜디오봄봄,서울,2019-,text,24 cm,kor,13500.0,한국문학
KSE201400900,연속간행물,(Ang) bantayan,naghahayag ng kaharian ni Jehova,Watch Tower Bible and Tract Society of Korea,Watch Tower Bible and Tract Society of Korea,안성,-,text,23 cm,tag,No data,기독교
KSE201400900,연속간행물,(Ang) bantayan,naghahayag ng kaharian ni Jehova,Watch Tower Bible and Tract Society of Korea,Watch Tower Bible and Tract Society of Korea,안성,-,text,23 cm,tag,No data,기독교
KSE201400900,연속간행물,(Ang) bantayan,naghahayag ng kaharian ni Jehova,Watch Tower Bible and Tract Society of Korea,Watch Tower Bible and Tract Society of Korea,안성,-,text,23 cm,tag,No data,기독교
KSE200601203,연속간행물,(Asia) 서석문학,No data,아시아서석문학사,아시아서석문학사,광주,2006-,text,22 cm,kor,15000.0,한국문학
KSE200601203,연속간행물,(Asia) 서석문학,No data,아시아서석문학사,아시아서석문학사,광주,2006-,text,22 cm,kor,15000.0,한국문학
KSE200601203,연속간행물,(Asia) 서석문학,No data,아시아서석문학사,아시아서석문학사,광주,2006-,text,22 cm,kor,15000.0,한국문학
KSE200601203,연속간행물,(Asia) 서석문학,No data,아시아서석문학사,아시아서석문학사,광주,2006-,text,22 cm,kor,15000.0,한국문학
KSE201201515,연속간행물,(K-water) 지속가능경영보고서,No data,한국수자원공사.경영관리실.성과경영팀;한국수자원공사.경영관리실.경영혁신부,K-water,대구,-,text,28 cm,kor,No data,"공학,공업일반,토목공학,환경공학"
KSE199900141,연속간행물,(KEEI) 에너지수요전망,No data,에너지경제연구원,에너지경제연구원,의왕,1999-,text,26 cm,kor,No data,경제학
KSE199900141,연속간행물,(KEEI) 에너지수요전망,No data,에너지경제연구원,에너지경제연구원,의왕,1999-,text,26 cm,kor,No data,경제학
KSE199900141,연속간행물,(KEEI) 에너지수요전망,No data,에너지경제연구원,에너지경제연구원,의왕,1999-,text,26 cm,kor,No data,경제학
KSE200401795,연속간행물,(National Human Rights Commission of Korea) Annual report,No data,The Republic of Korea.National Human Rights Commission,National Human Rights Commission,서울,2002-,text,24 cm,eng,No data,정치학
KSE201600256,연속간행물,(Nihon go) NHK일어,monthly Japanese listening magazine,시사외국어사,시사외국어사,서울,2016-,text,12 cm,kor,15000.0,일본어
KSE201600256,연속간행물,(Nihon go) NHK일어,monthly Japanese listening magazine,시사외국어사,시사외국어사,서울,2016-,text,12 cm,kor,15000.0,일본어
KSE201600256,연속간행물,(Nihon go) NHK일어,monthly Japanese listening magazine,시사외국어사,시사외국어사,서울,2016-,text,12 cm,kor,15000.0,일본어
KSE201600256,연속간행물,(Nihon go) NHK일어,monthly Japanese listening magazine,시사외국어사,시사외국어사,서울,2016-,text,12 cm,kor,15000.0,일본어
KSE201600256,연속간행물,(Nihon go) NHK일어,monthly Japanese listening magazine,시사외국어사,시사외국어사,서울,2016-,text,12 cm,kor,15000.0,일본어
KSE201600256,연속간행물,(Nihon go) NHK일어,monthly Japanese listening magazine,시사외국어사,시사외국어사,서울,2016-,text,12 cm,kor,15000.0,일본어
KSE201600256,연속간행물,(Nihon go) NHK일어,monthly Japanese listening magazine,시사외국어사,시사외국어사,서울,2016-,text,12 cm,kor,15000.0,일본어
KSE201600256,연속간행물,(Nihon go) NHK일어,monthly Japanese listening magazine,시사외국어사,시사외국어사,서울,2016-,text,12 cm,kor,15000.0,일본어
KSE201600256,연속간행물,(Nihon go) NHK일어,monthly Japanese listening magazine,시사외국어사,시사외국어사,서울,2016-,text,12 cm,kor,15000.0,일본어
KSE201600256,연속간행물,(Nihon go) NHK일어,monthly Japanese listening magazine,시사외국어사,시사외국어사,서울,2016-,text,12 cm,kor,15000.0,일본어
KSE201600256,연속간행물,(Nihon go) NHK일어,monthly Japanese listening magazine,시사외국어사,시사외국어사,서울,2016-,text,12 cm,kor,15000.0,일본어
KSE201600256,연속간행물,(Nihon go) NHK일어,monthly Japanese listening magazine,시사외국어사,시사외국어사,서울,2016-,text,12 cm,kor,15000.0,일본어
KSE200802709,연속간행물,(The) Asian business lawyer,No data,Korea University.Legal Research Institute,"Legal Research Institute, Korea University",서울,2008-,text,26 cm,eng,No data,경제학
KSE200802709,연속간행물,(The) Asian business lawyer,No data,Korea University.Legal Research Institute,"Legal Research Institute, Korea University",서울,2008-,text,26 cm,eng,No data,경제학
KSE201201073,연속간행물,(The) DGB,DGB금융그룹 사보,DGB금융지주.홍보부,DGB금융지주,대구,2012-,text,28-29 cm,kor,No data,경제학
KSE201201073,연속간행물,(The) DGB,DGB금융그룹 사보,DGB금융지주.홍보부,DGB금융지주,대구,2012-,text,28-29 cm,kor,No data,경제학
KSE201201073,연속간행물,(The) DGB,DGB금융그룹 사보,DGB금융지주.홍보부,DGB금융지주,대구,2012-,text,28-29 cm,kor,No data,경제학
KSE201201073,연속간행물,(The) DGB,DGB금융그룹 사보,DGB금융지주.홍보부,DGB금융지주,대구,2012-,text,28-29 cm,kor,No data,경제학
KSE201201073,연속간행물,(The) DGB,DGB금융그룹 사보,DGB금융지주.홍보부,DGB금융지주,대구,2012-,text,28-29 cm,kor,No data,경제학
KSE201201073,연속간행물,(The) DGB,DGB금융그룹 사보,DGB금융지주.홍보부,DGB금융지주,대구,2012-,text,28-29 cm,kor,No data,경제학
KSE201400918,연속간행물,(The) EMRD,No data,해외자원개발협회,해외자원개발협회,서울,-2021,text,26 cm,kor,No data,경제학
KSE202101128,연속간행물,(The) Green cup,No data,티지씨,티지씨,서울,2021-,text,27 cm,kor,11000.0,"오락,스포츠"
KSE202101128,연속간행물,(The) Green cup,No data,티지씨,티지씨,서울,2021-,text,27 cm,kor,11000.0,"오락,스포츠"
KSE200000914,연속간행물,(The) HRD Review,No data,한국직업능력개발원(KAB201500201),한국직업능력개발원,서울,2000-,text,27 cm,kor,No data,교육학
KSE200000914,연속간행물,(The) HRD Review,No data,한국직업능력개발원(KAB201500201),한국직업능력개발원,서울,2000-,text,27 cm,kor,No data,교육학
KSE200000914,연속간행물,(The) HRD Review,No data,한국직업능력개발원(KAB201500201),한국직업능력개발원,서울,2000-,text,27 cm,kor,No data,교육학
KSE200000914,연속간행물,(The) HRD Review,No data,한국직업능력개발원(KAB201500201),한국직업능력개발원,서울,2000-,text,27 cm,kor,No data,교육학
KSE199800550,연속간행물,(The) Hanyang journal,No data,Hanyang University,Hanyang University,서울,-,text,26-27 cm,eng,No data,교육학
KSE199800550,연속간행물,(The) Hanyang journal,No data,Hanyang University,Hanyang University,서울,-,text,26-27 cm,eng,No data,교육학
KSE199800550,연속간행물,(The) Hanyang journal,No data,Hanyang University,Hanyang University,서울,-,text,26-27 cm,eng,No data,교육학
KSE199800550,연속간행물,(The) Hanyang journal,No data,Hanyang University,Hanyang University,서울,-,text,26-27 cm,eng,No data,교육학
KSE200101250,연속간행물,(The) Hongik tidings,No data,Hongik University,Hongik University,서울,-,text,28-30 cm,eng,No data,교육학
KSE200101250,연속간행물,(The) Hongik tidings,No data,Hongik University,Hongik University,서울,-,text,28-30 cm,eng,No data,교육학
KSE200101250,연속간행물,(The) Hongik tidings,No data,Hongik University,Hongik University,서울,-,text,28-30 cm,eng,No data,교육학
KSE200101250,연속간행물,(The) Hongik tidings,No data,Hongik University,Hongik University,서울,-,text,28-30 cm,eng,No data,교육학
