발행처,빈도
서울대학교 대학원,3272
연세대학교 대학원,2692
고려대학교 대학원,2643
한양대학교 대학원,2459
성균관대학교 대학원,1803
중앙대학교 대학원,1713
부산대학교 대학원,1646
경희대학교 대학원,1452
경북대학교 대학원,1238
이화여자대학교 대학원,1227
전북대학교 대학원,1132
건국대학교 대학원,1056
동국대학교 대학원,1037
홍익대학교 대학원,941
전남대학교 대학원,924
충북대학교 대학원,892
충남대학교 대학원,816
단국대학교 대학원,772
국민대학교 대학원,684
경상국립대학교 대학원,657
인하대학교 대학원,634
한국교원대학교 대학원,624
아주대학교 대학원,616
강원대학교 대학원,595
부경대학교 대학원,588
세종대학교 대학원,586
서울시립대학교 대학원,581
가천대학교 대학원,559
서울과학기술대학교 대학원,530
서강대학교 대학원,520
가톨릭대학교 대학원,498
경기대학교 대학원,496
원광대학교 대학원,458
한국외국어대학교 대학원,430
제주대학교 대학원,387
숙명여자대학교 대학원,386
동의대학교 대학원,377
유니스트,362
상명대학교 대학원,360
포항공과대학교 대학원,349
영남대학교 대학원,343
인천대학교 대학원,342
조선대학교 대학원,340
명지대학교 대학원,331
동아대학교 대학원,330
대구대학교 대학원,297
계명대학교 대학원,293
광운대학교 대학원,271
창원대학교 대학원,264
호서대학교 대학원,263
서울교육대학교 대학원,259
한국해양대학교 대학원,246
숭실대학교 대학원,235
공주대학교 대학원,232
전주대학교 일반대학원,226
인제대학교 대학원,216
순천향대학교 대학원,216
울산대학교 대학원,199
우석대학교 일반대학원,198
성신여자대학교 대학원,188
군산대학교 대학원,185
한성대학교 대학원,173
경남대학교 대학원,164
한국교통대학교 대학원,163
청주대학교 대학원,161
차의과학대학교 대학원,161
경인교육대학교 대학원,158
울산대학교,152
과학기술연합대학원대학교,149
호서대학교 일반대학원,146
한국항공대학교 대학원,145
한국체육대학교 대학원,141
디지스트,141
한남대학교 대학원,134
중부대학교,132
금오공과대학교 대학원,129
대구가톨릭대학교 대학원,127
수원대학교,126
배재대학교 대학원,126
목포대학교 대학원,123
장로회신학대학교 대학원,123
안동대학교 일반대학원,114
건양대학교 대학원,112
한경대학교 일반대학원,108
신라대학교 일반대학원,108
순천대학교 대학원,107
목원대학교 대학원,107
울산대학교 일반대학원,101
백석대학교 대학원,99
동서대학교 일반대학원,98
동명대학교 대학원,98
남서울대학교 대학원,97
서경대학교 대학원,95
한국예술종합학교,91
조선대학교 교육대학원,89
대구교육대학교 교육대학원,89
호서대학교 벤처대학원,86
대전대학교 일반대학원,85
부산교육대학교 대학원,85
을지대학교 대학원,84
대전대학교 대학원,82
한국기술교육대학교 일반대학원,81
배재대학교 일반대학원,79
선문대학교 일반대학원,76
경성대학교 일반대학원,75
대진대학교 대학원,73
세한대학교 일반대학원,73
한밭대학교 대학원,71
한서대학교 일반대학원,71
호남대학교 대학원,66
용인대학교 일반대학원,66
한국방송통신대학교 대학원,65
광주여자대학교 대학원,64
광주대학교 대학원,62
한세대학교 일반대학원,61
동덕여자대학교,61
부산외국어대학교 일반대학원,60
강릉원주대학교 대학원,60
호서대학교 기술경영전문대학원,60
대구한의대학교 일반대학원,60
성공회대학교 대학원,59
KDI School of Public Policy and Management,57
영남대학교 환경보건대학원,57
광주교육대학교 교육대학원,56
동방문화대학원대학교,56
대진대학교 교육대학원,56
신한대학교 대학원,55
한국전통문화대학교 대학원,53
안양대학교 일반대학원,52
서울여자대학교 일반대학원,49
세명대학교 대학원,49
평택대학교,46
한림대학교 대학원,45
국제신학대학원대학교,45
세한대학교 대학원,43
서울벤처대학원대학교,43
총신대학교 일반대학원,43
인하대학교 교육대학원,43
한국상담대학원대학교,43
동아대학교 교육대학원,42
동양대학교,42
상지대학교 일반대학원,42
강남대학교 일반대학원,41
호남대학교 일반대학원,40
한신대학교 신학대학원,40
한세대학교 대학원,40
韓國學中央硏究院 韓國學大學院,39
호서대학교 연합신학전문대학원,39
공주교육대학교 교육대학원,38
진주교육대학교 교육대학원,37
위덕대학교 대학원,37
신라대학교 교육대학원,37
인천가톨릭대학교 대학원,36
경일대학교 일반대학원,36
한동대학교 일반대학원,36
경일대학교 대학원,35
나사렛대학교 일반대학원,34
동아대학교 경영대학원,34
창신대학교 대학원,33
우송대학교 경영대학원,33
북한대학원대학교,33
한국기술교육대학교 테크노인력개발전문대학원,33
한국산업기술대학교 일반대학원,32
목포해양대학교 대학원,32
남부대학교 일반대학원,31
부산가톨릭대학교 대학원,31
웨스트민스터신학대학원대학교,30
한남대학교 사회문화·행정복지대학원,28
삼육대학교 대학원,28
신한대학교 일반대학원,28
우송대학교 일반대학원,27
한신대학교 일반대학원,26
추계예술대학교 대학원,24
대전대학교 보건의료대학원,24
청주교육대학교 교육대학원,23
인하대학교 공학대학원,23
대진대학교 통일대학원,23
칼빈대학교 신학대학원,22
동신대학교 일반대학원,22
국제뇌교육종합대학원대학교,22
칼빈대학교 대학원,22
계명대학교 일반대학원,22
순천향대학교 일반대학원,22
인하대학교 물류전문대학원,22
서울기독대학교 일반대학원,22
한양사이버대학교 대학원,22
강원대학교 교육대학원,22
University of Science and Technology,21
가야대학교 대학원,21
영산대학교 일반대학원,21
부산가톨릭대학교 일반대학원,21
한국기술교육대학교 IT융합과학경영산업대학원,21
광주가톨릭대학교 대학원,21
고신대학교 일반대학원,21
성결대학교 일반대학원,21
서울불교대학원대학교,20
한밭대학교 일반대학원,20
울산대학교 산업대학원,20
한국학대학원,20
덕성여자대학교 대학원,19
대진대학교 일반대학원,19
전주대학교 문화산업대학원,19
전주대학교 교육대학원,19
동아대학교 국제전문대학원,18
호남대학교 사회융합대학원,18
나사렛대학교 재활복지대학원,18
동신대학교 대학원,18
대진대학교 공공정책대학원,18
한림대학교 일반대학원,18
중앙승가대학교 대학원,17
호서대학교 글로벌창업대학원,17
서울장신대학교,17
남서울대학교 복지경영대학원,17
德成女子大學校 大學院,17
한밭대학교 산업대학원,17
The Graduate School Sunchon National University,17
대구가톨릭대학교 의료보건산업대학원,16
건신대학원대학교,16
우석대학교 교육대학원,16
Graduate School of Yeungnam University,15
성결대학교 신학대학원,14
東義大學校 大學院,14
온석대학원대학교,14
부산외국어대학교 대학원,14
협성대학교 대학원,14
경찰대학 치안대학원,14
영남대학교 박정희새마을대학원,13
한밭대학교 정보통신전문대학원,13
협성대학교 일반대학원,13
한신대학교 정신분석대학원,13
한국과학기술연구원,13
인하대학교 상담심리대학원,13
경성대학교 교육대학원,13
한경대학교 산업대학원,12
신라대학교 산업융합대학원,12
총신대학교 목회신학전문대학원,12
성산효대학원대학교,12
경희사이버대학교 문화창조대학원,12
강남대학교 교육대학원,12
감리교신학대학교 대학원,12
경남대학교 교육대학원,11
신한대학교 지식복지대학원,11
서울신학대학교 일반대학원,11
고신대학교 교회음악대학원,11
영산대학교 관광대학원,11
배재대학교 교육대학원,11
한국학중앙연구원 한국학대학원,11
인하대학교 제조혁신전문대학원,11
계명대학원 대학원,11
남부대학교 교육대학원,11
중원대학교 일반대학원,11
한동대학교 교육대학원,10
청주대학교 보건의료대학원,10
영남신학대학교 대학원,10
남부대학교 대학원,10
강원대학교 산업대학원,10
한서대학교 교육대학원,10
조선대학교 보건대학원,10
송원대학교 휴먼산업대학원,10
서울상담심리대학원대학교,10
추계예술대학교 문화예술경영대학원,10
상지대학교 대학원,10
능인대학원대학교,10
대구한의대학교 보건복지대학원,9
서울한영대학교 대학원,9
대전가톨릭대학교 대학원,9
극동대학교 일반대학원,9
한남대학교 교육대학원,9
춘천교육대학교 교육대학원,9
Graduate School of Creative Design Engineering,9
용인대학교 교육대학원,9
경주대학교 대학원,9
한일장신대학교 일반대학원,8
서울신학대학교 신학전문대학원,8
횃불트리니티신학대학원대학교,8
고려사이버대학교 융합정보대학원,8
협성대학교 신학대학원,8
순천향대학교,8
한신대학교 대학원,8
감리교신학대학교 신학대학원,8
극동대학교 글로벌대학원,8
덕성여자대학교 교육대학원,8
목포대학교 경영행정대학원,8
영산대학교 미용예술대학원,8
경찰대학교 치안대학원,8
초당대학교 일반대학원,8
